Finca,Vaca,Raza,Lact,Par,E_par,Ser_concep,IEP,Gestac,D_seca,Dias_ab,IEP_esp,Part_desc,an_Par
185,377.0,J6H2,7,2020-01-07,106,2.0,318.0,263.0,49.0,221.0,,395.0,2020
185,383.0,J8,7,2020-02-10,106,2.0,417.0,277.0,93.0,142.0,417.0,,2020
185,383.0,J8,8,2021-04-02,120,,417.0,275.0,203.0,,,1.0,2021
185,395.0,J8,7,2020-10-24,111,2.0,375.0,278.0,154.0,78.0,352.0,,2020
185,395.0,J8,8,2021-10-11,122,1.0,352.0,274.0,81.0,67.0,350.0,,2021
185,395.0,J8,9,2022-09-26,134,,350.0,283.0,67.0,,,344.0,2022
185,398.0,J8,7,2020-04-03,103,,395.0,286.0,178.0,,,417.0,2020
185,402.0,H8,5,2020-05-14,103,1.0,464.0,276.0,91.0,198.0,472.0,,2020
185,402.0,H8,6,2021-08-29,119,,472.0,274.0,66.0,,,401.0,2021
185,407.0,H8,6,2020-06-14,104,1.0,386.0,275.0,85.0,66.0,354.0,,2020
185,407.0,H8,7,2021-06-03,115,2.0,354.0,288.0,70.0,100.0,377.0,,2021
185,407.0,H8,8,2022-06-15,128,,377.0,277.0,71.0,,,39.0,2022
185,408.0,H8,6,2020-04-09,101,2.0,368.0,280.0,68.0,279.0,564.0,,2020
185,408.0,H8,7,2021-10-25,120,,564.0,285.0,146.0,,,27.0,2021
185,414.0,J8,7,2020-09-08,105,2.0,338.0,281.0,57.0,125.0,402.0,,2020
185,414.0,J8,8,2021-10-15,118,1.0,402.0,277.0,85.0,77.0,365.0,,2021
185,414.0,J8,9,2022-10-15,130,,365.0,288.0,74.0,,,364.0,2022
185,422.0,H8,6,2021-01-10,106,,497.0,278.0,110.0,,,381.0,2021
185,427.0,J8,6,2020-03-30,96,3.0,367.0,279.0,174.0,140.0,424.0,,2020
185,427.0,J8,7,2021-05-28,109,,424.0,284.0,88.0,,,277.0,2021
185,439.0,J8,6,2021-01-01,101,5.0,501.0,281.0,85.0,183.0,463.0,,2021
185,439.0,J8,7,2022-04-09,116,1.0,463.0,280.0,87.0,84.0,356.0,,2022
185,439.0,J8,8,2023-03-31,128,2.0,356.0,272.0,57.0,150.0,440.0,,2023
185,439.0,J8,9,2024-06-13,142,,440.0,290.0,120.0,,,148.0,2024
185,451.0,H8,5,2020-05-09,89,,359.0,274.0,59.0,,,814.0,2020
185,454.0,J8,6,2020-05-03,88,2.0,380.0,287.0,73.0,77.0,356.0,,2020
185,454.0,J8,7,2021-04-24,100,2.0,356.0,279.0,54.0,89.0,366.0,,2021
185,454.0,J8,8,2022-04-25,112,3.0,366.0,277.0,70.0,161.0,446.0,,2022
185,454.0,J8,9,2023-07-15,126,1.0,446.0,285.0,73.0,60.0,339.0,,2023
185,454.0,J8,10,2024-06-18,137,,339.0,279.0,64.0,,,182.0,2024
185,455.0,H8,5,2020-05-02,87,2.0,358.0,277.0,91.0,90.0,361.0,,2020
185,455.0,H8,6,2021-04-28,99,,361.0,271.0,77.0,,,475.0,2021
185,458.0,J8,6,2021-01-23,95,,425.0,280.0,80.0,,,619.0,2021
185,460.0,H8,5,2020-11-09,93,,499.0,295.0,104.0,,,477.0,2020
185,461.0,J8,6,2020-05-05,86,1.0,483.0,276.0,63.0,48.0,330.0,,2020
185,461.0,J8,7,2021-03-31,97,1.0,330.0,282.0,67.0,66.0,341.0,,2021
185,461.0,J8,8,2022-03-07,108,1.0,341.0,275.0,56.0,52.0,336.0,,2022
185,461.0,J8,9,2023-02-06,119,2.0,336.0,284.0,70.0,68.0,348.0,,2023
185,461.0,J8,10,2024-01-20,131,,348.0,280.0,65.0,,,419.0,2024
185,462.0,J7H1,6,2020-05-18,87,2.0,406.0,282.0,68.0,74.0,358.0,,2020
185,462.0,J7H1,7,2021-05-11,98,1.0,358.0,284.0,102.0,49.0,328.0,,2021
185,462.0,J7H1,8,2022-04-04,109,2.0,328.0,279.0,61.0,69.0,353.0,,2022
185,462.0,J7H1,9,2023-03-23,121,3.0,353.0,284.0,69.0,143.0,425.0,,2023
185,462.0,J7H1,10,2024-05-21,135,,425.0,282.0,69.0,,,,2024
185,465.0,J8,6,2020-04-24,86,3.0,341.0,278.0,66.0,98.0,379.0,,2020
185,465.0,J8,7,2021-05-08,98,,379.0,281.0,115.0,,,297.0,2021
185,469.0,H8,5,2020-01-01,81,1.0,365.0,279.0,114.0,49.0,242.0,,2020
185,469.0,H8,6,2020-08-30,89,,242.0,193.0,,,,150.0,2020
185,476.0,J6H2,5,2020-12-23,91,,581.0,283.0,245.0,,,16.0,2020
185,478.0,H8,5,2021-04-03,94,4.0,529.0,282.0,176.0,190.0,470.0,,2021
185,478.0,H8,6,2022-07-17,110,,470.0,280.0,129.0,,,415.0,2022
185,482.0,H8,5,2021-04-15,93,3.0,489.0,290.0,106.0,159.0,442.0,,2021
185,482.0,H8,6,2022-07-01,108,3.0,442.0,283.0,113.0,145.0,428.0,,2022
185,482.0,H8,7,2023-09-02,122,1.0,428.0,283.0,73.0,67.0,,79.0,2023
185,483.01,J8,5,2020-08-28,85,1.0,358.0,281.0,67.0,74.0,361.0,,2020
185,483.01,J8,6,2021-08-24,97,4.0,361.0,287.0,84.0,239.0,,398.0,2021
185,492.0,J8,5,2020-07-06,80,,399.0,276.0,96.0,,,190.0,2020
185,504.0,J6H2,6,2020-09-30,80,,341.0,282.0,130.0,,,338.0,2020
185,505.0,J8,5,2020-12-28,83,2.0,451.0,283.0,77.0,137.0,418.0,,2020
185,505.0,J8,6,2022-02-19,97,,418.0,281.0,61.0,,,423.0,2022
185,506.0,H8,5,2020-02-21,73,1.0,365.0,276.0,65.0,48.0,324.0,,2020
185,506.0,H8,6,2021-01-10,83,,324.0,276.0,62.0,,,2.0,2021
185,507.0,H8,5,2020-09-03,79,1.0,326.0,196.0,15.0,46.0,331.0,,2020
185,507.0,H8,6,2021-07-31,90,7.0,331.0,285.0,116.0,320.0,585.0,,2021
185,507.0,H8,7,2023-03-08,109,5.0,585.0,265.0,48.0,322.0,600.0,,2023
185,507.0,H8,8,2024-10-28,129,,600.0,278.0,75.0,,,,2024
185,509.0,J8,4,2020-02-27,72,,472.0,283.0,178.0,,,557.0,2020
185,510.0,H8,5,2020-08-10,77,1.0,351.0,279.0,58.0,97.0,377.0,,2020
185,510.0,H8,6,2021-08-22,90,2.0,377.0,280.0,62.0,265.0,545.0,,2021
185,510.0,H8,7,2023-02-18,107,,545.0,280.0,95.0,,,442.0,2023
185,512.0,J8,5,2020-06-25,76,1.0,349.0,285.0,71.0,100.0,381.0,,2020
185,512.0,J8,6,2021-07-11,88,2.0,381.0,281.0,66.0,111.0,387.0,,2021
185,512.0,J8,7,2022-08-02,101,,387.0,276.0,77.0,,,350.0,2022
185,513.0,H8,3,2020-01-18,70,,433.0,275.0,102.0,,,42.0,2020
185,514.0,J8,3,2020-02-15,71,1.0,334.0,278.0,141.0,83.0,366.0,,2020
185,514.0,J8,4,2021-02-15,83,2.0,366.0,283.0,76.0,143.0,423.0,,2021
185,514.0,J8,5,2022-04-14,97,,423.0,280.0,149.0,,,369.0,2022
185,518.0,J8,5,2021-01-20,81,2.0,499.0,288.0,82.0,141.0,418.0,,2021
185,518.0,J8,6,2022-03-14,95,1.0,418.0,277.0,118.0,79.0,348.0,,2022
185,518.0,J8,7,2023-02-25,106,,348.0,269.0,48.0,,,143.0,2023
185,519.0,J8,4,2021-04-16,84,,486.0,290.0,107.0,,,16.0,2021
185,520.0,H8,4,2021-02-06,81,6.0,559.0,283.0,99.0,236.0,517.0,,2021
185,520.0,H8,5,2022-07-08,98,,517.0,281.0,120.0,,,192.0,2022
185,521.0,J8,5,2021-02-06,80,2.0,550.0,281.0,109.0,182.0,467.0,,2021
185,521.0,J8,6,2022-05-19,95,,467.0,285.0,93.0,,,495.0,2022
185,524.0,J8,4,2020-02-21,68,2.0,387.0,284.0,179.0,141.0,430.0,,2020
